Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
513669	0	507007	21898	Aramaic	שֵֽׁגְלָתָ֣ךְ	שֵֽׁגְלָתָ֣ךְ	šê·ḡə·lā·ṯāḵ	N-fpc | 2ms	Noun - feminine plural construct | second person masculine singular	7695								 wives 	,			
513670	0	507008	21898	Aramaic	וּלְחֵנָתָךְ֮	וּלְחֵנָתָךְ֮	ū·lə·ḥê·nā·ṯāḵ	Conj-w | N-fpc | 2ms	Conjunctive waw | Noun - feminine plural construct | second person masculine singular	3904								 and concubines 	,			
513688	0	507009	21898	Aramaic	שַׁבַּ֑חְתָּ	שַׁבַּ֑חְתָּ	šab·baḥ·tā	V-Piel-Perf-2ms	Verb - Piel - Perfect - second person masculine singular	7624								 you praised 				
513674	0	507010	21898	Aramaic	וְלֵֽאלָהֵ֣י	וְלֵֽאלָהֵ֣י	wə·lê·lā·hê	Conj-w, Prep-l | N-mpc	Conjunctive waw, Preposition-l | Noun - masculine plural construct	426								 [your] gods 				
513675	0	507011	21898	Aramaic	כַסְפָּֽא־	כַסְפָּֽא־	ḵas·pā-	N-msd	Noun - masculine singular determinate	3702								 of silver 				
513676	0	507012	21898	Aramaic	וְ֠דַהֲבָא	וְ֠דַהֲבָא	wə·ḏa·hă·ḇā	Conj-w | N-msd	Conjunctive waw | Noun - masculine singular determinate	1722								 and gold 	,			
513677	0	507013	21898	Aramaic	נְחָשָׁ֨א	נְחָשָׁ֨א	nə·ḥā·šā	N-msd	Noun - masculine singular determinate	5174								 bronze 				
513678	0	507014	21898	Aramaic	פַרְזְלָ֜א	פַרְזְלָ֜א	p̄ar·zə·lā	N-msd	Noun - masculine singular determinate	6523								 and iron 	,			
513679	0	507015	21898	Aramaic	אָעָ֣א	אָעָ֣א	’ā·‘ā	N-msd	Noun - masculine singular determinate	636								 wood 				
513680	0	507016	21898	Aramaic	וְאַבְנָ֗א	וְאַבְנָ֗א	wə·’aḇ·nā	Conj-w | N-fsd	Conjunctive waw | Noun - feminine singular determinate	69								 and stone 	,			
